top,lat,lon,humidity,temp,accel,dust
$data,50.843406,4.334723,31.80,24.30,0.25,167
$data,50.843425,4.334798,31.90,24.40,0.10,143
$data,50.843448,4.334877,31.90,24.40,0.15,148
$data,50.843471,4.334957,31.90,24.30,0.30,113
$data,50.843498,4.335038,31.90,24.30,1.20,17
$data,50.843513,4.335120,31.90,24.30,0.35,133
$data,50.843540,4.335190,31.90,24.30,0.15,110
$data,50.843578,4.335263,32.20,24.30,0.05,150
$data,50.843612,4.335343,32.20,24.30,0.00,157
$data,50.843635,4.335418,32.20,24.30,0.10,184
$data,50.843650,4.335502,32.20,24.30,0.00,133
$data,50.843669,4.335578,32.20,24.30,0.15,143
$data,50.843685,4.335648,32.30,24.30,0.00,139
$data,50.843715,4.335715,32.30,24.30,0.10,131
$data,50.843742,4.335785,32.40,24.30,0.25,146
$data,50.843772,4.335860,32.40,24.30,0.15,140
$data,50.843814,4.335927,32.10,24.20,0.25,151
$data,50.843837,4.335995,32.10,24.20,0.00,108
$data,50.843872,4.336077,32.10,24.20,0.05,138
$data,50.843894,4.336150,32.10,24.20,0.05,138
$data,50.843921,4.336217,32.00,24.20,0.00,147
$data,50.843936,4.336285,32.00,24.20,0.00,141
$data,50.843959,4.336349,32.10,24.20,0.10,141
$data,50.843978,4.336413,32.10,24.20,0.05,137
$data,50.844017,4.336483,32.00,24.20,0.00,123
$data,50.844036,4.336551,32.00,24.20,0.15,144
$data,50.844043,4.336616,31.70,24.10,0.05,152
$data,50.844058,4.336685,31.70,24.10,0.05,133
$data,50.844074,4.336755,31.70,24.10,0.10,130
$data,50.844100,4.336827,31.70,24.10,0.05,126
$data,50.844123,4.336895,31.70,24.10,0.10,136
$data,50.844158,4.336960,31.70,24.10,0.40,132
$data,50.844181,4.337027,31.80,24.10,0.05,147
$data,50.844215,4.337095,31.80,24.10,0.05,132
$data,50.844230,4.337165,31.70,24.00,0.10,156
$data,50.844245,4.337240,31.70,24.00,0.45,136
$data,50.844253,4.337327,31.80,24.00,0.40,124
$data,50.844272,4.337402,31.80,24.00,0.30,149
$data,50.844287,4.337481,31.80,24.00,0.00,136
$data,50.844295,4.337556,31.80,24.00,0.05,139
$data,50.844310,4.337620,31.80,24.00,0.10,171
$data,50.844326,4.337683,31.80,24.00,0.10,149
$data,50.844352,4.337743,31.80,24.00,0.25,107
$data,50.844367,4.337810,31.80,24.00,0.15,156
$data,50.844375,4.337868,31.80,24.00,0.10,137
$data,50.844402,4.337920,31.80,24.00,0.35,129
$data,50.844417,4.337972,31.70,23.90,0.10,149
$data,50.844432,4.338023,31.70,23.90,0.05,153
$data,50.844440,4.338077,31.70,23.90,0.05,124
$data,50.844448,4.338128,31.70,23.90,3.65,166
$data,50.844459,4.338179,31.60,23.90,0.00,143
$data,50.844467,4.338217,31.60,23.90,0.05,152
$data,50.844482,4.338255,31.70,23.90,0.00,114
$data,50.844490,4.338295,31.70,23.90,0.05,174
$data,50.844505,4.338345,31.80,23.90,0.30,165
