top,lat,lon,humidity,temp,accel,dust
$data,50.842155,4.323113,29.00,26.70,0.00,137
$data,50.842147,4.323127,28.90,26.70,0.00,154
$data,50.842113,4.323155,28.90,26.70,0.00,180
$data,50.842090,4.323196,28.60,26.70,0.00,153
$data,50.842082,4.323208,28.60,26.70,0.00,159
$data,50.842075,4.323224,28.20,26.70,0.05,165
$data,50.842056,4.323236,28.20,26.70,0.00,188
$data,50.842041,4.323251,28.00,26.70,0.00,172
$data,50.842025,4.323260,28.00,26.70,0.00,185
$data,50.842006,4.323278,27.90,26.70,0.00,153
$data,50.841991,4.323302,27.90,26.70,0.00,170
$data,50.841976,4.323315,27.90,26.70,0.00,153
$data,50.841983,4.323310,27.90,26.70,0.00,158
$data,50.841968,4.323330,27.90,26.70,0.00,155
$data,50.841960,4.323347,27.90,26.70,0.00,168
$data,50.841960,4.323363,27.90,26.70,0.00,162
$data,50.841960,4.323367,27.80,26.70,0.00,147
$data,50.841960,4.323370,27.80,26.70,0.00,144
$data,50.841960,4.323371,27.70,26.70,0.00,126
$data,50.841960,4.323375,27.70,26.70,0.00,200
$data,50.841960,4.323375,27.70,26.70,0.00,168
$data,50.841968,4.323375,27.70,26.70,0.00,136
$data,50.841968,4.323375,27.70,26.70,0.00,141
$data,50.841968,4.323375,27.70,26.70,0.00,152
$data,50.841968,4.323375,27.50,26.70,0.00,158
$data,50.841968,4.323375,27.50,26.70,0.00,187
$data,50.841968,4.323377,27.40,26.70,0.00,133
$data,50.841968,4.323380,27.40,26.70,0.00,165
$data,50.841968,4.323385,27.50,26.70,0.00,187
$data,50.841968,4.323407,27.50,26.70,0.00,150
$data,50.841968,4.323420,27.50,26.70,0.00,180
$data,50.841960,4.323439,27.50,26.70,0.00,171
$data,50.841960,4.323443,27.50,26.70,0.00,150
$data,50.841953,4.323445,27.50,26.70,0.00,154
$data,50.841941,4.323443,27.40,26.70,0.00,148
$data,50.841941,4.323447,27.40,26.70,0.00,151
$data,50.841934,4.323451,27.30,26.70,0.00,142
